Date,Close/Last,Volume,Open,High,Low,Company
12/22/2022,"88,26",23656070,"88,93"," 89,18"," 86,94",Google
12/21/2022,"90,25",20336390,"89,73"," 90,92"," 88,91",Google
12/20/2022,"89,63",21976850,"88,73"," 89,78"," 88,04",Google
12/19/2022,"89,15",23020540,"90,88"," 91,20"," 88,92",Google
12/16/2022,"90,86",48485510,"91,20"," 91,75"," 90,01",Google
12/15/2022,"91,20",28298760,"93,54"," 94,03"," 90,43",Google
12/14/2022,"95,31",26452940,"95,54"," 97,22"," 93,94",Google
12/13/2022,"95,85",34788520,"98,07"," 99,80"," 95,38",Google
12/12/2022,"93,56",27380950,"93,09"," 93,87"," 91,90",Google
12/09/2022,"93,07",21885310,"93,90"," 94,49"," 93,02",Google
12/08/2022,"93,95",25593230,"95,69"," 95,87"," 93,80",Google
12/07/2022,"95,15",26647880,"96,77"," 97,31"," 95,03",Google
12/06/2022,"97,31",20877620,"99,67"," 100,21"," 96,76",Google
12/05/2022,"99,87",19955550,"99,81"," 101,75"," 99,36",Google
12/02/2022,"100,83",18821530,"99,37"," 101,15"," 99,17",Google
12/01/2022,"101,28",21771540,"101,40"," 102,59"," 100,67",Google
11/30/2022,"101,45",39888070,"95,12"," 101,45"," 94,67",Google
11/29/2022,"95,44",20220010,"96,00"," 96,39"," 94,39",Google
11/28/2022,"96,25",19981970,"97,20"," 97,83"," 95,89",Google
11/25/2022,"97,60",8567819,"98,47"," 98,94"," 97,53",Google
11/23/2022,"98,82",17568860,"97,34"," 99,07"," 97,34",Google
11/22/2022,"97,33",18868850,"96,16"," 97,55"," 94,41",Google
11/21/2022,"95,83",18696870,"97,56"," 98,72"," 95,67",Google
11/18/2022,"97,80",24969880,"99,01"," 99,16"," 96,74",Google
11/17/2022,"98,50",21818730,"97,18"," 99,48"," 97,10",Google
11/16/2022,"98,99",24660200,"98,02"," 99,85"," 97,90",Google
11/15/2022,"98,72",31830970,"98,67"," 100,42"," 97,02",Google
11/14/2022,"96,03",24170080,"95,50"," 97,18"," 95,11",Google
11/11/2022,"96,73",30569110,"94,71"," 97,36"," 94,16",Google
11/10/2022,"94,17",42371220,"92,34"," 94,55"," 91,65",Google
11/09/2022,"87,40",26743880,"88,55"," 89,49"," 87,36",Google
11/08/2022,"88,91",30172000,"89,16"," 90,41"," 87,65",Google
11/07/2022,"88,65",26899880,"87,34"," 88,94"," 86,96",Google
11/04/2022,"86,70",40173280,"85,51"," 86,73"," 83,88",Google
11/03/2022,"83,49",48510360,"86,34"," 86,55"," 83,45",Google
11/02/2022,"87,07",43553550,"90,91"," 91,30"," 87,01",Google
11/01/2022,"90,50",43220600,"95,59"," 96,17"," 90,43",Google
10/31/2022,"94,66",29868710,"95,78"," 96,35"," 94,38",Google
10/28/2022,"96,58",35696930,"92,53"," 96,86"," 92,32",Google
10/27/2022,"92,60",54036490,"94,31"," 95,17"," 91,90",Google
10/26/2022,"94,82",71671810,"96,76"," 98,54"," 94,57",Google
10/25/2022,"104,93",29910170,"103,30"," 105,10"," 103,02",Google
10/24/2022,"102,97",24680830,"102,09"," 103,10"," 100,30",Google
10/21/2022,"101,48",28988730,"98,46"," 101,62"," 98,23",Google
10/20/2022,"100,53",25125080,"100,82"," 103,00"," 99,97",Google
10/19/2022,"100,29",21573690,"100,70"," 101,66"," 99,64",Google
10/18/2022,"101,39",21610540,"103,94"," 104,22"," 100,65",Google
10/17/2022,"100,78",23311600,"99,52"," 101,77"," 99,51",Google
10/14/2022,"97,18",22624830,"100,62"," 101,29"," 97,03",Google
10/13/2022,"99,71",32812220,"95,93"," 100,53"," 95,27",Google
